ID,LCLAS_NM,MLSFC_NM,FCLTY_NM,CTPRVN_NM,SIGNGU_NM,LEGALDONG_CD,LEGALDONG_NM,ADSTRD_CD,ADSTRD_NM,RDNMADR_CD,RDNMADR_NM,ZIP_NO,GID_CD,FCLTY_LO,FCLTY_LA,LC_LO,LC_LA,FCLTY_ID,OPNNG_YEAR,ADTION_DC,FCLTY_SEAT_CO,PRFPLC_CO,TEL_NO,HMPG_ADDR,FCLTY_SEAT_CO,PBLPRFR_CAS_CO,RASNG_CUTIN_CAS_CO,VIEWNG_CAS_CO,ADVANTK_CAS_CO,PRVATE_PUBLIC_AT,UPDT_DT,ORIGIN_NM,FILE_NM,BASE_DE
KCWKPRF22N000000229,문화시설,공연장,대학로 자유극장 (자유문화발전소),서울특별시,종로구,1111016800,동숭동,1111064000,이화동,1.11E+11,서울특별시 종로구 대학로12길 31 (동숭동),3086,다사561538,127.0036077,37.5827487,956172.1702,1953822.541,FC002132,2005,민간(대학로),233,1,,,233,5,5,345,43709,민간(대학로),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000230,문화시설,공연장,대학로 판타스틱전용관,서울특별시,종로구,1111016900,혜화동,1111065000,혜화동,1.11E+11,서울특별시 종로구 대학로 146 (혜화동) 4층,3084,다사560539,127.00203,37.5842489,956033.7522,1953989.719,FC001607,,민간(대학로),401,1,02-3143-5959,,401,0,0,0,0,민간(대학로),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000231,문화시설,공연장,대학로단막극장,서울특별시,종로구,1111016800,동숭동,1111064000,이화동,1.11E+11,서울특별시 종로구 동숭4길 16-3 (동숭동),3085,다사562538,127.0045779,37.583318,956258.1655,1953885.25,FC001102,1996,민간(대학로),66,1,02-765-1544,,66,6,6,68,439,민간(대학로),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000232,문화시설,공연장,대학로아트원씨어터,서울특별시,종로구,1111016800,동숭동,1111064000,이화동,1.11E+11,서울특별시 종로구 대학로12길 83 (동숭동),3086,다사562535,127.0040068,37.5802683,956205.9551,1953547.167,FC001677,2009,민간(대학로),773,3,02-762-0010,,773,20,18,877,107068,민간(대학로),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000233,문화시설,공연장,대학로예술극장,서울특별시,종로구,1111016800,동숭동,1111064000,이화동,1.11E+11,서울특별시 종로구 대학로10길 17 (동숭동),3086,다사561537,127.0031785,37.5820962,956133.8919,1953750.35,FC001491,2009,국립,799,3,02-3668-0007,http://theater.arko.or.kr/Pages/Main.aspx,799,77,77,317,23151,국립,20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000234,문화시설,공연장,댕로홀,서울특별시,종로구,1111016800,동숭동,1111064000,이화동,1.11E+11,서울특별시 종로구 대학로12길 50 (동숭동),3086,다사561537,127.0037223,37.5818581,956181.7666,1953723.68,FC001678,2005,민간(대학로),83,1,070-8600-8342,,83,2,0,891,17662,민간(대학로),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000235,문화시설,공연장,더 바이널 언더그라운드,부산광역시,남구,2629010600,대연동,2629053000,대연3동,2.63E+11,부산광역시 남구 수영로322번길 32 (대연동),48512,마라459835,129.1019253,35.1363853,1145941.846,1683527.183,FC001565,2020,민간(대학로 외),50,1,,,50,0,0,0,0,민간(대학로 외),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000236,문화시설,공연장,더 씨어터,서울특별시,종로구,1111016200,효제동,1111063000,종로5.6가동,1.11E+11,서울특별시 종로구 대학로3길 10 (효제동) 고운빌딩,3128,다사559528,127.0016594,37.5740507,955995.0296,1952858.451,FC000256,2011,민간(대학로),96,1,02-743-3382,http://cafe.daum.net/thetheatre,96,0,0,0,0,민간(대학로),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000237,문화시설,공연장,덕진예술회관,전라북도,전주시,4511310600,덕진동2가,4511357000,덕진동,4.51E+11,전라북도 전주시 덕진구 권삼득로 407 (덕진동2가),54897,다마656613,127.119375,35.8477517,965629.2773,1761313.946,FC001564,1999,공공(문예회관),486,1,,,486,8,8,31,1494,공공(문예회관),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000238,문화시설,공연장,도봉구민회관,서울특별시,도봉구,1132010700,창동,1132051500,창5동,1.13E+11,서울특별시 도봉구 도봉로 552 (창동),1427,다사593617,127.0388644,37.6541804,959324.0327,1961731.723,FC001666,1993,공공(문예회관),742,2,02-901-5160,http://www.dobongsiseol.or.kr/index_hall.html,742,0,0,0,0,공공(문예회관),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000239,문화시설,공연장,도파니아트홀,경상남도,창원시,4812112400,명서동,4812153000,명곡동,4.81E+11,경상남도 창원시 의창구 창이대로113번길 20 (명서동),51387,마라045947,128.6485879,35.2429508,1104502.171,1694775.384,FC001605,2005,민간(대학로 외),90,1,,,90,1,1,3,75,민간(대학로 외),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000240,문화시설,공연장,동구청소년수련관,인천광역시,동구,2814010700,송림동,2814059000,송림2동,2.81E+11,인천광역시 동구 솔빛로 82 (송림동),22543,다사241422,126.6425753,37.4760679,924187.2438,1942216.392,FC001606,2000,공공(기타),307,1,,,307,0,0,0,0,공공(기타),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000241,문화시설,공연장,동국대학교,서울특별시,중구,1114013900,필동3가,1114057000,필동,1.11E+11,서울특별시 중구 필동로1길 30 (필동3가),4620,다사557511,126.9987376,37.5589366,955728.0799,1951182.989,FC002330,2008,민간(대학로 외),302,1,02-2260-8901,http://www.xn--3i0by5pyxij4d72bsi666f.com/,302,3,3,250,38056,민간(대학로 외),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000242,문화시설,공연장,동덕여대공연예술센터,서울특별시,종로구,1111016800,동숭동,1111064000,이화동,1.11E+11,서울특별시 종로구 동숭길 126 (동숭동),3084,다사561539,127.0033429,37.5837144,956149.3566,1953929.805,FC002297,2001,민간(대학로),430,1,02-940-4578,http://www.dongduk.ac.kr/contents/main/cor/subinstitute_5.html,430,0,0,0,0,민간(대학로),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000243,문화시설,공연장,동두천시민회관,경기도,동두천시,4125011200,상패동,4125060000,상패동,4.13E+11,경기도 동두천시 어수로 4 (상패동),11340,다사598895,127.0430632,37.905263,959830.5098,1989587.225,FC001561,1992,공공(문예회관),480,1,,,480,0,0,0,0,공공(문예회관),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000244,문화시설,공연장,동래문화회관,부산광역시,동래구,2626010700,명륜동,2626054500,명륜동,2.63E+11,부산광역시 동래구 문화로 80 (명륜동),47746,마라447918,129.090546,35.2119507,1144770.99,1691891.807,FC002180,1999,공공(문예회관),852,3,051-550-6611,http://www.dongnae.go.kr/culture/index.dongnae?menuCd=DOM_000000605001000000,852,13,13,14,882,공공(문예회관),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000245,문화시설,공연장,동리국악당,전라북도,고창군,4579025021,고창읍 읍내리,4579025000,고창읍,4.58E+11,전라북도 고창군 고창읍 판소리길 20,56440,다마276154,126.7027549,35.4318374,927633.5664,1715410.772,FC000302,1990,공공(기타),500,1,,,500,0,0,0,0,공공(기타),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000246,문화시설,공연장,동서울아트홀,서울특별시,광진구,1121510300,구의동,1121587000,구의3동,1.12E+11,서울특별시 광진구 구의강변로 38 (구의동),5116,다사639483,127.0918907,37.5341645,963943.551,1948394.867,FC000890,2012,민간(대학로 외),234,1,02-3436-7777,https://artistgroup.modoo.at/?link=esh79zjk,234,4,4,16,131,민간(대학로 외),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000247,문화시설,공연장,동성로 야외무대,대구광역시,중구,2711012300,동성로2가,2711056500,성내1동,2.62E+11,대구광역시 중구 동성로 30 (동성로2가),41938,라마989642,128.5959441,35.8694622,1098939.27,1764209.525,FC002120,2009,공공(기타),50,1,,,50,0,0,0,0,공공(기타),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000248,문화시설,공연장,동숭무대소극장,서울특별시,종로구,1111017000,명륜1가,1111065000,혜화동,1.11E+11,서울특별시 종로구 혜화로 35 (명륜1가),3068,다사557544,126.9991691,37.588691,955783.7866,1954483.892,FC002106,2002,민간(대학로),120,1,02-765-7073,http://cafe.naver.com/dsstage,120,16,16,126,1854,민간(대학로),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000249,문화시설,공연장,동아백화점 아트홀,대구광역시,중구,2711011200,덕산동,2711057500,성내2동,2.71E+11,대구광역시 중구 달구벌대로 2085 (덕산동),41936,라마985638,128.5918416,35.8663335,1098572.767,1763858.35,FC001694,1997,민간(대학로 외),124,1,,,124,0,0,0,0,민간(대학로 외),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000250,문화시설,공연장,동양예술극장(구. 아트센터K),서울특별시,종로구,0,0,0,0,0,서울 종로구 혜화동 163-24,,다사560540,127.002336,37.5846125,956060.9831,1954029.915,FC001714,2015,민간(대학로),583,3,02-743-4667,http://artcenterdyu.co.kr/,583,1,0,4,156,민간(대학로),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000251,문화시설,공연장,동우아트홀,전라북도,군산시,4513012000,장미동,4513053000,월명동,4.51E+11,전라북도 군산시 내항1길 4(장미동),54026,다마295771,126.7183654,35.9882183,929541.9725,1777109.09,FC001863,2019,민간(대학로 외),220,1,,,220,1,1,2,26,민간(대학로 외),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000252,문화시설,공연장,동자아트홀,서울특별시,용산구,1117010700,동자동,1117053000,남영동,1.11E+11,"서울특별시 용산구 한강대로 372 (동자동, 센트레빌아스테리움서울)",4323,다사534503,126.9729051,37.5516794,953442.0004,1950390.321,FC002416,2014,민간(대학로 외),157,1,,,157,1,1,1,21,민간(대학로 외),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000253,문화시설,공연장,동해문화예술회관,강원도,동해시,4217010100,천곡동,4217051000,천곡동,4.21E+11,강원도 동해시 평원로 15 (천곡동),25755,마사427486,129.1152394,37.5264492,1142725.681,1948686.305,FC001513,1995,공공(문예회관),2305,3,033-530-2115,http://www.dh.go.kr/pages/sub.htm?nav_code=dh1479357774,2305,0,0,0,0,공공(문예회관),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000254,문화시설,공연장,두산아트센터,서울특별시,종로구,1111016000,연지동,1111063000,종로5.6가동,1.11E+11,서울특별시 종로구 종로33길 15 (연지동),3129,다사559526,127.0010001,37.5718123,955935.4922,1952610.42,FC002708,2007,민간(대학로 외),622,3,02-708-5001,http://www.doosanartcenter.com/,622,15,14,332,41612,민간(대학로 외),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000255,문화시설,공연장,드림시어터 [대학로],서울특별시,종로구,1111016800,동숭동,1111064000,이화동,1.11E+11,서울특별시 종로구 대학로10길 15 - 11,3086,다사560537,127.0027716,37.582261,956098.0618,1953768.824,FC000419,2012,민간(대학로),125,1,010-7444-4559,https://bulltheatre.modoo.at/?link=cb6i15sg,125,29,29,207,2304,민간(대학로),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000256,문화시설,공연장,드림씨어터 [부산],부산광역시,남구,2629010900,문현동,2629069000,문현2동,2.62E+11,부산광역시 남구 전포대로 133 (문현동),48400,마라426847,129.0654725,35.1482824,1142599.807,1684793.877,FC001815,2019,민간(대학로 외),1727,1,00-1833-3755,https://www.dreamtheatre.co.kr/,1727,8,8,118,94719,민간(대학로 외),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000257,문화시설,공연장,드림아트홀 [대전],대전광역시,중구,3014010500,대흥동,3014057500,대흥동,3.01E+11,대전광역시 중구 선화서로 2 (대흥동),34940,다바928141,127.4204501,36.3244092,992859.8352,1814119.068,FC001571,2007,민간(대학로 외),85,1,,,85,12,12,34,135,민간(대학로 외),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000258,문화시설,공연장,드림아트홀 [원주],강원도,원주시,4213010800,일산동,4213056000,일산동,4.13E+11,강원도 원주시 원일로 151(일산동),26417,라사395282,127.946642,37.352099,1039556.561,1928211.543,FC002600,,민간(대학로 외),150,1,,,150,0,0,0,0,민간(대학로 외),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000259,문화시설,공연장,디엔지홀(DNG HALL),서울특별시,송파구,1171011100,방이동,1171056200,방이2동,1.17E+11,서울특별시 송파구 오금로 195 (방이동),5643,다사660455,127.1160799,37.5084328,966069.0243,1945531.098,FC000788,2015,민간(대학로 외),250,1,,,250,0,0,0,0,민간(대학로 외),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000260,문화시설,공연장,디큐브아트센터,서울특별시,구로구,1153010100,신도림동,1153051000,신도림동,1.15E+11,"서울특별시 구로구 경인로 662 (신도림동, 디큐브시티)",8209,다사459456,126.888213,37.5081231,945929.6919,1945603.29,FC002448,2011,민간(대학로 외),1742,2,02-2211-3000,http://www.d3art.co.kr,1742,3,2,369,191419,민간(대학로 외),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000261,문화시설,공연장,떼아뜨르 다락 소극장,인천광역시,중구,2811010400,중앙동4가,2811053000,신포동,2.81E+11,인천광역시 중구 신포로27번길 3 (중앙동4가),22314,다사226417,126.6247373,37.4714581,922605.2377,1941719.467,FC001105,2011,민간(대학로 외),90,1,032-777-1959,http://cafe.daum.net/theatre-dalak,90,1,1,1,1,민간(대학로 외),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000262,문화시설,공연장,떼아뜨르 분도(김광석 소극장),대구광역시,중구,2711015700,대봉동,2711068000,대봉1동,2.71E+11,대구광역시 중구 동덕로 36-15 (대봉동),41952,라마998630,128.6057756,35.8588251,1099840.211,1763039.666,FC001106,1980,민간(대학로 외),120,1,,,120,0,0,0,0,민간(대학로 외),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000263,문화시설,공연장,뜻밖의 극장(구. 해우소소극장),서울특별시,성북구,1129011600,동선동1가,1129057500,동선동,1.13E+11,서울특별시 성북구 동소문로20나길 27 (동선동1가),2845,다사574548,127.0181432,37.5924913,957461.1021,1954896.755,FC002419,2018,민간(대학로 외),65,1,02-921-5080,https://blog.naver.com/theatre-uex,65,9,9,112,601,민간(대학로 외),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000264,문화시설,공연장,라이브 썸데이즈홀 (구. 이수ENT),서울특별시,종로구,1111016800,동숭동,1111064000,이화동,1.11E+11,서울특별시 종로구 대학로12길 10 지하1층,3086,다사560537,127.0026561,37.5825261,956088.0196,1953798.289,FC000580,2011,민간(대학로),346,2,,,346,0,0,0,0,민간(대학로),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000265,문화시설,공연장,라이프 씨어터,서울특별시,종로구,1111017100,명륜2가,1111065000,혜화동,1.11E+11,서울특별시 종로구 창경궁로34길 26 (명륜2가),3077,다사559539,127.0010734,37.5839094,955949.0924,1953952.501,FC001716,2008,민간(대학로),136,1,02-742-4544,http://blog.naver.com/noneune,136,0,0,0,0,민간(대학로),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000266,문화시설,공연장,레몬트리소극장,부산광역시,수영구,2650010500,남천동,2650066000,남천1동,2.63E+11,부산광역시 수영구 수영로 421-1 (남천동),48316,마라465843,129.1089652,35.1437127,1146570.127,1684350.238,FC000883,2013,민간(대학로 외),100,1,051-626-0116,https://lemontreetheatre.modoo.at/,100,1,1,9,9,민간(대학로 외),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000267,문화시설,공연장,레미어린이극장 [광주수완],광주광역시,광산구,2920012300,장덕동,2920063700,수완동,2.92E+11,광주광역시 광산구 장신로 98 (장덕동),62225,다라380884,126.8192879,35.1894384,938026.8992,1688448.53,FC001206,2009,민간(대학로 외),305,1,062-975-2860,http://www.reomusical.com/new/main/main.htm?CPC_REFERER=https%3A%2F%2Fsearch.naver.com%2Fsearch.naver%3Fwhere%3Dnexearch%26sm%3Dtop_sug.pre%26fbm%3D1%26acr%3D1%26acq%3D%2,305,0,0,0,0,민간(대학로 외),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000268,문화시설,공연장,레미어린이극장 [금천],서울특별시,금천구,1154510200,독산동,1154561000,독산1동,1.15E+11,서울특별시 금천구 두산로 71 (독산동),8524,다사465414,126.8956736,37.4706229,946562.365,1941438.605,FC001655,2012,민간(대학로 외),194,1,02-868-5961,http://www.reomusical.com/new/main/main.htm,194,5,5,150,1142,민간(대학로 외),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000269,문화시설,공연장,레미어린이극장 [부산],부산광역시,부산진구,2623010800,부암동,2623064000,부암1동,2.62E+11,부산광역시 부산진구 신천대로 241 (부암동),47187,마라411864,129.0493159,35.163307,1141102.017,1686437.26,FC000100,2011,민간(대학로 외),0,1,051-805-5961,http://www.reomusical.com/new/main/main.htm?CPC_REFERER=http,0,0,0,0,0,민간(대학로 외),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000270,문화시설,공연장,레미어린이극장 [부평],인천광역시,부평구,2823710300,산곡동,2823758000,산곡2동,1.11E+11,인천광역시 부평구 마장로 296 (산곡동),21362,다사296453,126.7040748,37.5050118,929652.2238,1945379.841,FC000491,2010,민간(대학로 외),185,1,032-507-5961,http://www.reomusical.com/new/main/main.htm,185,1,0,1,0,민간(대학로 외),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000271,문화시설,공연장,레미어린이극장 [울산진장],울산광역시,북구,3120012100,진장동,3120056000,효문동,3.12E+11,울산광역시 북구 진장유통로 64 (진장동),44248,마마684326,129.359025,35.5760046,1168451.402,1732698.028,FC002193,2006,민간(대학로 외),193,1,,,193,9,9,162,1910,민간(대학로 외),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000272,문화시설,공연장,로운아뜨리움,서울특별시,양천구,1147010200,목동,1147051000,목1동,1.15E+11,서울특별시 양천구 목동서로 225 (목동),7995,다사444477,126.870746,37.5270754,944399.9902,1947716.128,FC000525,,민간(대학로 외),981,3,02-2061-9500,http://rounatrium.com/kr/play/intro.php,981,3,3,27,1968,민간(대학로 외),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000273,문화시설,공연장,롤링홀,서울특별시,마포구,1144012000,서교동,1144066000,서교동,1.14E+11,서울특별시 마포구 어울마당로 35 (서교동) 지하 1층,4048,다사487500,126.920121,37.5484975,948777.3932,1950064.757,FC001386,1995,민간(대학로 외),200,1,,,200,0,0,0,0,민간(대학로 외),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000274,문화시설,공연장,롯데마트 어린이소극장 [구미],경상북도,구미시,4719011100,신평동,4719059000,신평1동,4.72E+11,경상북도 구미시 구미대로22길 11 (신평동) 롯데마트 구미점 3층,39255,라마778911,128.365409,36.1137881,1077885.966,1791101.014,FC000666,2005,민간(대학로 외),184,1,054-440-2490,http://company.lottemart.com/branch/bc/floorView.do?brnchCd=0100129,184,0,0,0,0,민간(대학로 외),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000275,문화시설,공연장,롯데문화홀[인천] (구.신세계문화홀),인천광역시,미추홀구,2817710600,관교동,2817770000,관교동,1.14E+11,인천광역시 미추홀구 연남로 35 (관교동),22242,다사293384,126.7015187,37.4425062,929367.4984,1938447.073,FC002319,1997,민간(대학로 외),400,1,032-242-2924,https://www.lotteshopping.com/branchShopGuide/floorGuideSub?cstr=0344,400,0,0,0,0,민간(대학로 외),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000276,문화시설,공연장,롯데콘서트홀,서울특별시,송파구,1171010200,신천동,1171071000,잠실6동,1.17E+11,서울특별시 송파구 올림픽로 300 (신천동) 롯데월드몰 8층 롯데문화재단,5551,다사650461,127.1044469,37.513752,965043.3728,1946125.487,FC000600,2016,민간(대학로 외),2036,1,00-1544-7744,http://www.lotteconcerthall.com/,2036,240,240,286,104512,민간(대학로 외),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000277,문화시설,공연장,마당극장 관용,대전광역시,중구,3014010500,대흥동,3014057500,대흥동,3.01E+11,대전광역시 중구 중앙로112번길 15 (대흥동),34912,다바930143,127.4230361,36.3267236,993092.1513,1814375.595,FC002153,2017,민간(대학로 외),150,1,,,150,0,0,0,0,민간(대학로 외),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000278,문화시설,공연장,마루아트홀,서울특별시,종로구,1111016800,동숭동,1111064000,이화동,1.11E+11,서울특별시 종로구 대학로8가길 30 (동숭동),3086,다사560537,127.0025606,37.582294,956079.4512,1953772.583,FC000292,2018,민간(대학로),118,1,1661-6981,,118,2,0,590,17741,민간(대학로),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000279,문화시설,공연장,마리아칼라스홀,서울특별시,강남구,1168010600,대치동,1168061000,대치2동,1.17E+11,서울특별시 강남구 영동대로 315 (대치동),6188,다사616448,127.0660341,37.5024951,961642.9025,1944891.57,FC002334,2008,민간(대학로 외),51,1,02-558-4588,http://mcallashall.co.kr/,51,21,21,23,210,민간(대학로 외),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000280,문화시설,공연장,마법의정원,경기도,화성시,4159037025,장안면 장안리,4159037000,장안면,4.16E+11,경기도 화성시 장안면 미산길 15,18586,다바423926,126.8522414,37.0307906,942387.8952,1892669.197,FC002639,,민간(대학로 외),100,1,,,100,0,0,0,0,민간(대학로 외),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000281,문화시설,공연장,마포아트센터,서울특별시,마포구,1144010800,대흥동,1144060000,대흥동,1.14E+11,서울특별시 마포구 대흥로20길 28 (대흥동),4136,다사510502,126.9455338,37.5499061,951023.1292,1950207.491,FC000227,2002,공공(문예회관),1054,3,02-3274-8500,http://www.mapoartcenter.or.kr/,1054,2,2,15,800,공공(문예회관),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000282,문화시설,공연장,맛있는 극장,서울특별시,종로구,1111016900,혜화동,1111065000,혜화동,1.11E+11,서울특별시 종로구 혜화로 4 (혜화동),3076,다사559542,127.0007502,37.5862487,955921.9359,1954212.187,FC000258,2010,민간(대학로),90,1,070-7018-1084,,90,1,0,452,4230,민간(대학로),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000283,문화시설,공연장,메가폴리스아트홀,충청북도,청주시,4311311300,가경동,4311374700,가경동,1.17E+11,충청북도 청주시 흥덕구 풍산로 15 (가경동),28396,다바939476,127.4319939,36.6267842,993919.6392,1847658.764,FC000161,2013,민간(대학로 외),160,1,043-222-1434,http://somyung.modoo.at/,160,5,5,93,1889,민간(대학로 외),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000284,문화시설,공연장,명동난타극장,서울특별시,중구,1114012700,명동2가,1114055000,명동,1.11E+11,서울특별시 중구 명동길 26 (명동2가),4536,다사544516,126.9837648,37.5634575,954408.4154,1951691.718,FC001682,2009,민간(대학로 외),386,1,02-739-8288,http://www.i-pmc.co.kr/UIPage/Theatre/Theatre01.aspx,386,2,1,22,1376,민간(대학로 외),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000285,문화시설,공연장,명보아트홀,서울특별시,중구,1114015900,초동,1114060500,을지로동,1.11E+11,서울특별시 중구 마른내로 47 (초동),4549,다사552518,126.9932142,37.5647056,955243.6965,1951825.647,FC001322,2008,민간(대학로 외),1468,5,02-2274-2121,https://www.facebook.com/myungboart,1468,0,0,0,0,민간(대학로 외),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
KCWKPRF22N000000286,문화시설,공연장,명작극장 (구 아츠플레이씨어터),서울특별시,종로구,1111016800,동숭동,1111064000,이화동,1.11E+11,서울특별시 종로구 대학로8가길 30 (동숭동),3086,다사560537,127.0025606,37.582294,956079.4512,1953772.583,FC001675,2017,민간(대학로),376,2,02-747-9898,https://blog.naver.com/mj_38,376,11,10,312,5829,민간(대학로),20221231,KOPIS 공연예술통합전산망,KC_486_WNTY_KOPIS_PRFPLC_2022,20221231
