번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(x),좌표정보(y),문화체육업종명,문화사업자구분명,총층수,주변환경명,제작취급품목내용,시설면적,지상층수,지하층수,건물용도명,통로너비,조명시설조도,노래방실수,청소년실수,비상계단여부,비상구여부,자동환기여부,청소년실여부,특수조명여부,방음시설여부,비디오재생기명,조명시설유무,음향시설여부,편의시설여부,소방시설여부,총게임기수,기존게임업외업종명,제공게임물명,공연장형태구분명,품목명,최초등록시점,지역구분명,sum
587,영화상영관,03_13_02_P,6510000,CDFF4220002005000002,2005-06-03,,3,폐업,3,폐업,2012-12-26,,,,751-2201,,,제주특별자치도 제주시 삼도이동 108-13번지 3층(이아로26),"제주특별자치도 제주시 중앙로14길 18 (삼도이동,3층(이아로26))",,메가박스 씨너스(주) 제주 2관,2012/12/26 10:55,I,2018/08/31 23:59,,155557.355,1786.045782,영화상영관,영화상영관,11,,,,8,3,문화시설,,,,,,,,,,,,,,,,,,,영화관,,20050603,일반상업지역,1
588,영화상영관,03_13_02_P,6510000,CDFF4220002005000003,2005-06-03,,3,폐업,3,폐업,2012-12-26,,,,751-2201,,,제주특별자치도 제주시 삼도이동 108-13번지 3층(이아로26),"제주특별자치도 제주시 중앙로14길 18 (삼도이동,3층(이아로26))",,메가박스 씨너스(주) 제주 3관,2012/12/26 10:56,I,2018/08/31 23:59,,155557.355,1786.045782,영화상영관,영화상영관,11,,,,8,3,문화시설,,,,,,,,,,,,,,,,,,,영화관,,20050603,일반상업지역,1
589,영화상영관,03_13_02_P,6510000,CDFF4220002005000004,2005-06-03,,3,폐업,3,폐업,2021-06-28,,,,755-4888,,,제주특별자치도 제주시 삼도이동 108-13 5층,제주특별자치도 제주시 중앙로14길 18 (삼도이동),63168,메가박스 제주1관,2021/06/28 9:36,U,2021/06/30 2:40,,155557.355,1786.045782,영화상영관,영화상영관,11,,,,8,3,문화시설,,,,,,,,,,,,,,,,,,,영화관,,20050603,일반상업지역,1
590,영화상영관,03_13_02_P,6510000,CDFF4220002005000005,2005-06-03,,3,폐업,3,폐업,2021-06-28,,,,755-4888,,,제주특별자치도 제주시 삼도이동 108-13 5층,"제주특별자치도 제주시 중앙로14길 18, 5층 (삼도이동, 메가박스 제주)",63168,메가박스 제주2관,2021/06/28 9:37,U,2021/06/30 2:40,,155557.355,1786.045782,영화상영관,영화상영관,11,,,,8,3,문화시설,,,,,,,,,,,,,,,,,,,영화관,,20050603,일반상업지역,1
591,영화상영관,03_13_02_P,6510000,CDFF4220002005000006,2005-06-03,,3,폐업,3,폐업,2021-06-28,,,,755-4888,,,제주특별자치도 제주시 삼도이동 108-13 메가박스 제주,"제주특별자치도 제주시 중앙로14길 18, 5층 (삼도이동, 메가박스 제주)",63168,메가박스 제주3관,2021/06/28 9:37,U,2021/06/30 2:40,,155557.355,1786.045782,영화상영관,영화상영관,11,,,,8,3,문화시설,,,,,,,,,,,,,,,,,,,영화관,,20050603,일반상업지역,1
592,영화상영관,03_13_02_P,6510000,CDFF4220002005000007,2005-06-03,,3,폐업,3,폐업,2021-06-28,,,,755-4888,,,제주특별자치도 제주시 삼도이동 108-13 메가박스 제주,"제주특별자치도 제주시 중앙로14길 18, 5층 (삼도이동, 메가박스 제주)",63168,메가박스 제주5관,2021/06/28 9:38,U,2021/06/30 2:40,,155557.355,1786.045782,영화상영관,영화상영관,11,,,,8,3,문화시설,,,,,,,,,,,,,,,,,,,영화관,,20050603,일반공업지역,1
593,영화상영관,03_13_02_P,6510000,CDFF4220002005000008,2005-06-03,,3,폐업,3,폐업,2021-06-28,,,,755-4888,,,제주특별자치도 제주시 삼도이동 108-13 메가박스 제주,"제주특별자치도 제주시 중앙로14길 18, 5층 (삼도이동, 메가박스 제주)",63168,메가박스 제주6관,2021/06/28 9:38,U,2021/06/30 2:40,,155557.355,1786.045782,영화상영관,영화상영관,11,,,,8,3,문화시설,,,,,,,,,,,,,,,,,,,영화관,,20050603,일반상업지역,1
594,영화상영관,03_13_02_P,6510000,CDFF4220002005000009,2005-06-03,,3,폐업,3,폐업,2021-06-28,,,,755-4888,,,제주특별자치도 제주시 삼도이동 108-13 메가박스 제주,"제주특별자치도 제주시 중앙로14길 18, 5층 (삼도이동, 메가박스 제주)",63168,메가박스 제주7관,2021/06/28 9:39,U,2021/06/30 2:40,,155557.355,1786.045782,영화상영관,영화상영관,11,,,,8,3,문화시설,,,,,,,,,,,,,,,,,,,영화관,,20050603,일반상업지역,1
595,영화상영관,03_13_02_P,4060000,CDFF4220002011000007,2011-11-24,,3,폐업,3,폐업,2021-01-22,,,,031-960-2771,,,경기도 파주시 문발동 211-8,경기도 파주시 문발로 284 (문발동),10881,롯데시네마 파주아울렛 7관,2022/04/25 15:20,U,2022/04/27 2:40,,172824.7401,468446.4024,영화상영관,,6,,,0,4,2,,0,0,0,0,,,,,,,,,,,,0,,,영화관,,20111124,,1
596,영화상영관,03_13_02_P,4050000,CDFF4220002007000007,2007-03-22,,3,폐업,3,폐업,2023-07-24,,,,,,,경기도 용인시 수지구 죽전동 1285 신세계백화점 8F,"경기도 용인시 수지구 포은대로 536, 8층 (죽전동, 신세계백화점)",16896,CGV죽전 7관,2023/07/21 14:40,U,2023/07/23 2:40,,209514.368,424782.5285,영화상영관,영화상영관,,,,,10,4,문화시설,,,,,,,,,,,,,,,,,,,영화관,,20070322,,1
597,영화상영관,03_13_02_P,4050000,CDFF4220002007000008,2007-03-22,,3,폐업,3,폐업,2023-07-24,,,,,,,경기도 용인시 수지구 죽전동 1285 신세계백화점 8F,"경기도 용인시 수지구 포은대로 536, 8층 (죽전동, 신세계백화점)",16896,CGV죽전 스타관,2023/07/21 14:40,U,2023/07/23 2:40,,209514.368,424782.5285,영화상영관,영화상영관,,,,,10,4,문화시설,,,,,,,,,,,,,,,,,,,영화관,,20070322,,1
598,영화상영관,03_13_02_P,4060000,CDFF4220002004000011,2004-12-08,,3,폐업,3,폐업,2008-10-07,,,,,,413-832,경기도 파주시 문발동 510-1번지 파주출판도시,"경기도 파주시 문발로 220  (문발동,파주출판도시)",,(주)씨에이엔(이동상영관),2008/11/24 23:40,I,2018/08/31 23:59,,172401.2518,467977.5877,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,자동차극장,,20041208,,1
599,영화상영관,03_13_02_P,4060000,CDFF4220002005000001,2005-03-21,,3,폐업,3,폐업,2012-04-04,,,,,,413-841,경기도 파주시 탄현면 성동리 646번지 통일동산주차장,,,자유로자동차극장3관,2012/04/04 16:12,I,2018/08/31 23:59,,172140.3353,475161.1392,영화상영관,영화상영관,,기타,,,,,문화시설,,,,,,,,,,,,,,,,,,,자동차극장,,20050321,일반상업지역,1
600,영화상영관,03_13_02_P,4060000,CDFF4220002011000001,2011-11-24,,3,폐업,3,폐업,2021-01-22,,,,031-960-2771,,,경기도 파주시 문발동 211-8,경기도 파주시 문발로 284 (문발동),10881,롯데시네마 파주아울렛 1관,2022/04/25 15:23,U,2022/04/27 2:40,,172824.7401,468446.4024,영화상영관,,6,,,0,4,2,문화시설,0,0,0,0,,,,,,,,,,,,0,,,영화관,,20111124,,1
601,영화상영관,03_13_02_P,4060000,CDFF4220002011000002,2011-11-24,,3,폐업,3,폐업,2021-01-22,,,,031-960-2771,,,경기도 파주시 문발동 211-8,경기도 파주시 문발로 284 (문발동),10881,롯데시네마 파주아울렛 2관,2022/04/25 15:22,U,2022/04/27 2:40,,172824.7401,468446.4024,영화상영관,,6,,,0,4,2,,0,0,0,0,,,,,,,,,,,,0,,,영화관,,20111124,,1
602,영화상영관,03_13_02_P,4060000,CDFF4220002011000003,2011-11-24,,3,폐업,3,폐업,2021-01-22,,,,031-960-2771,,,경기도 파주시 문발동 211-8,경기도 파주시 문발로 284 (문발동),10881,롯데시네마 파주아울렛 3관,2022/04/25 15:22,U,2022/04/27 2:40,,172824.7401,468446.4024,영화상영관,,6,,,0,4,2,,0,0,0,0,,,,,,,,,,,,0,,,영화관,,20111124,,1
603,영화상영관,03_13_02_P,4060000,CDFF4220002011000004,2011-11-24,,3,폐업,3,폐업,2021-01-22,,,,031-960-2771,,,경기도 파주시 문발동 211-8,경기도 파주시 문발로 284 (문발동),10881,롯데시네마 파주아울렛 4관,2022/04/25 15:21,U,2022/04/27 2:40,,172824.7401,468446.4024,영화상영관,,6,,,0,4,2,,0,0,0,0,,,,,,,,,,,,0,,,영화관,,20111124,,1
604,영화상영관,03_13_02_P,4060000,CDFF4220002011000005,2011-11-24,,3,폐업,3,폐업,2021-01-22,,,,031-960-2771,,,경기도 파주시 문발동 211-8,경기도 파주시 문발로 284 (문발동),10881,롯데시네마 파주아울렛 5관,2022/04/25 15:21,U,2022/04/27 2:40,,172824.7401,468446.4024,영화상영관,,6,,,0,4,2,,0,0,0,0,,,,,,,,,,,,0,,,영화관,,20111124,,1
605,영화상영관,03_13_02_P,4060000,CDFF4220002011000006,2011-11-24,,3,폐업,3,폐업,2021-01-22,,,,031-960-2771,,,경기도 파주시 문발동 211-8,경기도 파주시 문발로 284 (문발동),10881,롯데시네마 파주아울렛 6관,2022/04/25 15:21,U,2022/04/27 2:40,,172824.7401,468446.4024,영화상영관,,6,,,0,4,2,,0,0,0,0,,,,,,,,,,,,0,,,영화관,,20111124,,1
606,영화상영관,03_13_02_P,4050000,CDFF4220002006000009,2006-11-07,,3,폐업,3,폐업,2009-09-14,,,,,,446-905,경기도 용인시 기흥구 상갈동 100번지,,,루블루시네마 제1관,2011/02/24 13:56,I,2018/08/31 23:59,,,,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,20061107,,1
607,영화상영관,03_13_02_P,4050000,CDFF4220002006000010,2006-11-07,,3,폐업,3,폐업,2009-09-14,,,,,,446-905,경기도 용인시 기흥구 상갈동 100번지,,,루블루시네마 제2관,2011/02/24 13:57,I,2018/08/31 23:59,,,,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,20061107,,1
608,영화상영관,03_13_02_P,4050000,CDFF4220002006000011,2006-11-07,,3,폐업,3,폐업,2009-09-14,,,,,,446-905,경기도 용인시 기흥구 상갈동 100번지,,,루블루시네마 제3관,2011/02/24 13:58,I,2018/08/31 23:59,,,,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,20061107,,1
609,영화상영관,03_13_02_P,4050000,CDFF4220002006000012,2006-11-07,,3,폐업,3,폐업,2009-09-14,,,,,,446-905,경기도 용인시 기흥구 상갈동 100번지,,,루블루시네마 제4관,2011/02/24 13:58,I,2018/08/31 23:59,,,,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,20061107,,1
610,영화상영관,03_13_02_P,4050000,CDFF4220002006000013,2006-11-07,,3,폐업,3,폐업,2009-09-14,,,,,,446-905,경기도 용인시 기흥구 상갈동 100번지,,,루블루시네마 제5관,2011/02/24 14:02,I,2018/08/31 23:59,,,,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,20061107,,1
611,영화상영관,03_13_02_P,4050000,CDFF4220002003000002,2003-01-16,,3,폐업,3,폐업,2011-03-18,,,,320-9187,,,경기도 용인시 처인구 포곡읍 전대리 310,,,빅토리아극장,2011/03/18 18:23,I,2018/08/31 23:59,,,,영화상영관,영화상영관,2,기타,,,2,,유기장,1.35,,,,,,,,,,,,,,,,,,영화관,,20030116,자연녹지지역,1
612,영화상영관,03_13_02_P,6510000,CDFF4220001964000001,1964-07-23,,3,폐업,3,폐업,2020-02-04,,,,,,690-829,제주특별자치도 제주시 이도일동 1700-1번지,제주특별자치도 제주시 고전길 26 (이도일동),,시민회관,2020/02/04 14:13,U,2020/02/06 2:40,,155808.0425,1420.13346,영화상영관,영화상영관,3,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,19640723,,1
613,영화상영관,03_13_02_P,6510000,CDFF4220001990000001,1990-06-23,,3,폐업,3,폐업,2005-06-02,,,,,,690-836,제주특별자치도 제주시 일도일동 1150-3번지,제주특별자치도 제주시 동문로 16  (일도일동),,시네하우스1관,2005/08/01 10:18,I,2018/08/31 23:59,,156131.5796,1919.256113,영화상영관,영화상영관,5,,,,4,1,,,,,,,,,,,,,,,,,,,,영화관,,19900623,,1
614,영화상영관,03_13_02_P,6510000,CDFF4220001990000003,1990-10-05,,3,폐업,3,폐업,2005-06-02,,,,751-2201,,690-809,제주특별자치도 제주시 삼도이동 108-13번지,제주특별자치도 제주시 중앙로14길 18  (삼도이동),,아카데미2관,2005/08/01 10:17,I,2018/08/31 23:59,,155557.355,1786.045782,영화상영관,영화상영관,4,,,,3,1,,,,,,,,,,,,,,,,,,,,영화관,,19901005,,1
615,영화상영관,03_13_02_P,6510000,CDFF4220002014000001,2014-07-31,,3,폐업,3,폐업,2019-07-03,,,,722-9640~4,,,제주특별자치도 제주시 이도이동 1776-2번지,"제주특별자치도 제주시 서광로 288, 2층층 (이도이동, CGV제주)",63207,PREMIUM CINEMA,2019/07/04 10:21,U,2019/07/06 2:40,,155965.2439,504.396257,영화상영관,,10,,,,9,1,,,,,,,,,,,,,,,,,,,,영화관,,20140731,,1
616,영화상영관,03_13_02_P,4181000,CDFF4220001967000001,1967-10-01,,3,폐업,3,폐업,2006-11-09,,,,033)257-7224,,200-080,강원특별자치도 춘천시 운교동 169,강원특별자치도 춘천시 금강로 86  (운교동),,육림1관,2006/11/13 11:03,I,2023/06/13 0:00,,264142.6002,486369.7072,영화상영관,영화상영관,0,,,0,0,0,,0,0,0,0,,,,,,,,,,,,0,,,영화관,,19671001,,1
617,영화상영관,03_13_02_P,4181000,CDFF4220001986000001,1986-08-06,,3,폐업,3,폐업,2004-11-17,,,,033)257-3367,,200-050,강원특별자치도 춘천시 죽림동 7,,,브로드웨이극장,2009/01/15 15:50,I,2023/06/13 0:00,,,,영화상영관,영화상영관,0,,,0,0,0,,0,0,0,0,,,,,,,,,,,,0,,,영화관,,19860806,,1
618,영화상영관,03_13_02_P,4181000,CDFF4220001991000001,1991-08-10,,3,폐업,3,폐업,2006-11-09,,,,033)252-7225,,200-080,강원특별자치도 춘천시 운교동 169-29,강원특별자치도 춘천시 금강로 86  (운교동),,육림2관,2006/11/13 11:03,I,2023/06/13 0:00,,264128.1612,486357.9217,영화상영관,영화상영관,0,,,0,0,0,,0,0,0,0,,,,,,,,,,,,0,,,영화관,,19910810,,1
619,영화상영관,03_13_02_P,4181000,CDFF4220002001000001,2001-12-27,,3,폐업,3,폐업,2004-07-27,,,,033)262-0778,,200-911,강원특별자치도 춘천시 남산면 강촌리 432-2,,,강촌자동차극장,2004/07/27 16:13,I,2023/06/13 0:00,,253941.8229,477266.9717,영화상영관,영화상영관,0,,,0,0,0,,0,0,0,0,,,,,,,,,,,,0,,,자동차극장,,20011227,,1
620,영화상영관,03_13_02_P,4181000,CDFF4220002002000001,2002-11-21,,3,폐업,3,폐업,2003-06-01,,,,,,200-200,"강원특별자치도 춘천시 삼천동 290,300 번지",,,애플스타 춘천중도점,2003/06/13 11:52,I,2023/06/13 0:00,,,,영화상영관,영화상영관,0,,,0,0,0,,0,0,0,0,,,,,,,,,,,,0,,,자동차극장,,20021121,,1
621,영화상영관,03_13_02_P,4181000,CDFF4220002003000001,2003-08-18,,3,폐업,3,폐업,2005-11-23,,,,,,200-200,강원특별자치도 춘천시 삼천동 290,,,춘천자동차극장,2009/04/01 14:14,I,2023/06/13 0:00,,261281.1232,485643.8748,영화상영관,영화상영관,0,기타,,0,0,0,근린생활시설,0,0,0,0,,,,,,,,,,,,0,,,자동차극장,,20030818,자연녹지지역,1
622,영화상영관,03_13_02_P,4181000,CDFF4220002004000001,2004-07-21,,3,폐업,3,폐업,2005-07-08,,,,,,200-911,강원특별자치도 춘천시 남산면 강촌리 224-7,,,강촌자동차극장,2009/04/01 14:17,I,2023/06/13 0:00,,255767.3114,479344.0135,영화상영관,영화상영관,0,,,0,0,0,,0,0,0,0,,,,,,,,,,,,0,,,자동차극장,,20040721,,1
623,영화상영관,03_13_02_P,4181000,CDFF4220002005000001,2005-02-16,,3,폐업,3,폐업,2006-11-09,,,,,,200-080,강원특별자치도 춘천시 운교동 169,강원특별자치도 춘천시 금강로 86  (운교동),,육림3관,2009/04/01 14:14,I,2023/06/13 0:00,,264142.6002,486369.7072,영화상영관,영화상영관,2,,,0,2,0,근린생활시설,0,0,0,0,,,,,,,,,,,,0,,,영화관,,20050216,,1
624,영화상영관,03_13_02_P,4181000,CDFF4220002008000013,2008-12-01,,3,폐업,3,폐업,2009-01-06,,,,258-6445,,200-831,강원특별자치도 춘천시 서면 현암리 367 (1층),강원특별자치도 춘천시 서면 박사로 854  ((1층)),,아니마떼끄,2009/04/01 15:22,I,2023/06/13 0:00,,,,영화상영관,영화상영관,3,,,0,3,1,문화시설,0,0,0,0,,,,,,,,,,,,0,,,영화관,,20081201,,1
625,영화상영관,03_13_02_P,4191000,CDFF4220002004000001,2004-09-22,,3,폐업,3,폐업,2010-07-01,,,,732-9007,,220-831,강원특별자치도 원주시 소초면 학곡리 223-5 드림랜드 내,,,씨네드림-치악산드림랜드,2011/03/10 9:56,I,2023/06/13 0:00,,,,영화상영관,영화상영관,2,기타,,0,2,0,문화시설,0,0,0,0,,,,,,,,,,,,0,,,자동차극장,,20040922,관리지역,1
626,영화상영관,03_13_02_P,4291000,CDFF4220002003000001,2003-03-06,,3,폐업,3,폐업,2006-05-29,,,,,,233-901,강원특별자치도 정선군 사북읍 사북리 424,,,카사시네마,2009/06/18 10:56,I,2023/06/13 0:00,,361518.5132,413851.2676,영화상영관,영화상영관,0,,,0,0,0,,0,0,0,0,,,,,,,,,,,,0,,,영화관,,20030306,,1
627,영화상영관,03_13_02_P,4191000,CDFF4220001962000001,1962-05-17,,3,폐업,3,폐업,2009-03-05,,,,033-742-3997,,220-904,강원특별자치도 원주시 중앙동 165,,,시공관,2009/03/06 16:33,I,2023/06/13 0:00,,284353.3346,427809.5846,영화상영관,영화상영관,3,,,0,3,0,문화시설,0,0,0,0,,,,,,,,,,,,0,,,영화관,,19620517,,1
628,영화상영관,03_13_02_P,4191000,CDFF4220001962000002,1962-08-10,,3,폐업,3,폐업,2007-12-07,,,,033-742-2246,,220-903,강원특별자치도 원주시 중앙동 74-1,강원특별자치도 원주시 평원로 57  (중앙동),,원주극장,2007/12/11 17:54,I,2023/06/13 0:00,,284158.1813,428063.5241,영화상영관,영화상영관,3,,,0,3,0,문화시설,0,0,0,0,,,,,,,,,,,,0,,,영화관,,19620810,,1
629,영화상영관,03_13_02_P,4191000,CDFF4220002002000001,2002-05-24,,3,폐업,3,폐업,2005-02-24,,,,,,220-822,강원특별자치도 원주시 지정면 간현리 1036,,,간현자동차영화관,2005/02/24 10:32,I,2023/06/13 0:00,,273754.0338,429460.3155,영화상영관,영화상영관,2,기타,,0,2,0,,0,0,0,0,,,,,,,,,,,,0,,,자동차극장,,20020524,전용주거지역,1
630,영화상영관,03_13_02_P,4191000,CDFF4220002003000002,2003-06-13,,3,폐업,3,폐업,2013-02-05,,,,033-731-0595,,220-843,강원특별자치도 원주시 흥업면 사제리 1652,강원특별자치도 원주시 흥업면 수루니길 22,220-840,원주벤허자동차극장,2013/02/05 11:30,I,2023/06/13 0:00,,276750.3795,426472.2173,영화상영관,영화상영관,2,기타,,0,2,0,근린생활시설,0,0,0,0,,,,,,,,,,,,0,,,자동차극장,,20030613,,1
631,영화상영관,03_13_02_P,4211000,CDFF4220002002000002,2002-12-17,,3,폐업,3,폐업,2010-02-18,,,,532-4855,,,강원특별자치도 동해시 천곡동 1076,강원특별자치도 동해시 한섬로 73 (천곡동),240-809,삼성소극장,2011/10/30 15:34,I,2023/06/13 0:00,,386714.6031,448877.78,영화상영관,영화상영관,0,,,0,0,0,,0,0,0,0,,,,,,,,,,,,0,,,영화관,,20021217,,1
632,영화상영관,03_13_02_P,4211000,CDFF4220002002000001,2002-12-17,,3,폐업,3,폐업,2010-02-18,,,,533-3993,,240-812,강원특별자치도 동해시 천곡동 852,강원특별자치도 동해시 중앙로 240  (천곡동),,피카디리극장,2010/02/18 16:43,I,2023/06/13 0:00,,386885.9125,448766.3133,영화상영관,영화상영관,0,,,0,0,0,,0,0,0,0,,,,,,,,,,,,0,,,영화관,,20021217,,1
633,영화상영관,03_13_02_P,3340000,CDFF4220002003000001,2003-03-14,,3,폐업,3,폐업,2016-09-30,,,,205-0005,,,부산광역시 사하구 하단동 1149-5번지,부산광역시 사하구 낙동남로1233번길 20 (하단동),,부산시네마,2016/11/23 18:16,I,2018/08/31 23:59,,377435.4243,180670.3758,영화상영관,영화상영관,,,,,1,,,,,,,,,,,,,,,,,,,,,자동차극장,,20030314,,1
634,영화상영관,03_13_02_P,3250000,CDFF4220001999000002,1999-07-16,,3,폐업,3,폐업,2016-06-17,,,,247-1384,,,부산광역시 중구 남포동5가 12-1번지,부산광역시 중구 비프광장로 37 (남포동5가),48953,대영시네마 2관,2016/06/17 10:41,I,2018/08/31 23:59,,384985.4481,179597.593,영화상영관,영화상영관,,,,,6,4,,,,,,,,,,,,,,,,,,,,영화관,,19990716,,1
635,영화상영관,03_13_02_P,3250000,CDFF4220001999000003,1999-07-16,,3,폐업,3,폐업,2016-06-17,,,,247-1384,,,부산광역시 중구 남포동5가 12-1번지,부산광역시 중구 비프광장로 37 (남포동5가),48953,대영시네마 3관,2016/06/17 10:42,I,2018/08/31 23:59,,384985.4481,179597.593,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,19990716,,1
636,영화상영관,03_13_02_P,3250000,CDFF4220001999000004,1999-07-16,,3,폐업,3,폐업,2016-06-17,,,,247-1384,,,부산광역시 중구 남포동5가 12-1번지,부산광역시 중구 비프광장로 37 (남포동5가),48953,대영시네마 5관,2016/06/17 10:42,I,2018/08/31 23:59,,384985.4481,179597.593,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,19990716,,1
637,영화상영관,03_13_02_P,3250000,CDFF4220001998000001,1998-03-07,,3,폐업,3,폐업,2007-07-25,,,,,,600-807,부산광역시 중구 부평동2가 56번지,,,삼보극장,2007/07/25 18:33,I,2018/08/31 23:59,,,,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,19980307,,1
638,영화상영관,03_13_02_P,3250000,CDFF4220001999000005,1999-07-16,,3,폐업,3,폐업,2016-06-17,,,,247-1384,,,부산광역시 중구 남포동5가 12-1번지,부산광역시 중구 비프광장로 37 (남포동5가),48953,대영시네마 6관,2016/06/17 10:43,I,2018/08/31 23:59,,384985.4481,179597.593,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,19990716,,1
639,영화상영관,03_13_02_P,3250000,CDFF4220001999000006,1999-07-14,,3,폐업,3,폐업,2004-06-04,,,,245-3351,,600-805,부산광역시 중구 부평동1가 45-9번지,부산광역시 중구 중구로 13  (부평동1가),,국도시네마,2004/07/31 10:28,I,2018/08/31 23:59,,384798.7059,179647.5491,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,19990714,,1
640,영화상영관,03_13_02_P,3250000,CDFF4220002001000002,2001-11-07,,3,폐업,3,폐업,2016-06-17,,,,247-1384,,,부산광역시 중구 남포동5가 12-1번지,부산광역시 중구 비프광장로 37 (남포동5가),48953,대영시네마 8관,2016/06/17 10:44,I,2018/08/31 23:59,,384985.4481,179597.593,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,20011107,,1
641,영화상영관,03_13_02_P,3250000,CDFF4220002001000003,2001-11-09,,3,폐업,3,폐업,2007-07-25,,,,246-0340,,600-046,부산광역시 중구 남포동6가 92-1번지,,,CGV남포 1관,2007/07/25 15:03,I,2018/08/31 23:59,,,,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,20011109,,1
642,영화상영관,03_13_02_P,3250000,CDFF4220002001000004,2001-11-09,,3,폐업,3,폐업,2007-07-25,,,,246-0340,,600-046,부산광역시 중구 남포동6가 92-1번지,,,CGV남포 2관,2007/07/25 15:04,I,2018/08/31 23:59,,,,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,20011109,,1
643,영화상영관,03_13_02_P,3250000,CDFF4220002007000001,2007-07-26,,3,폐업,3,폐업,2023-02-14,,,,"256-6230, 246-0348",,,부산광역시 중구 남포동6가 91,부산광역시 중구 비프광장로 18 (남포동6가),48981,CGV남포1관,2023/02/15 9:45,U,2023/02/17 2:40,,384786.8974,179575.9495,영화상영관,영화상영관,9,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,20070726,,1
644,영화상영관,03_13_02_P,3250000,CDFF4220002007000002,2007-07-26,,3,폐업,3,폐업,2023-02-14,,,,256-6230,,,부산광역시 중구 남포동6가 91,부산광역시 중구 비프광장로 18 (남포동6가),48981,CGV남포2관,2023/02/15 9:45,U,2023/02/17 2:40,,384786.8974,179575.9495,영화상영관,영화상영관,9,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,20070726,,1
645,영화상영관,03_13_02_P,3250000,CDFF4220002009000001,2009-05-27,,3,폐업,3,폐업,2018-12-04,,,,442-0602,,600-801,부산광역시 중구 대청동4가 81-1번지 가톨릭센터2층,부산광역시 중구 중구로 71 (대청동4가),48968,아트씨어터 C+C,2018/12/04 15:56,U,2018/12/06 2:40,,384895.964,180239.6231,영화상영관,,10,학교정화(상대),,,10,1,문화시설,1.7,,,,,,,,,,,,,,,,,,영화관,,20090527,,1
646,영화상영관,03_13_02_P,3250000,CDFF4220002009000002,2009-07-27,,3,폐업,3,폐업,2016-06-17,,,,247-1384,,600-045,부산광역시 중구 남포동5가 12-1번지,부산광역시 중구 비프광장로 37 (남포동5가),48953,대영시네마9관,2016/06/17 10:44,I,2018/08/31 23:59,,384985.4481,179597.593,영화상영관,,6,기타,,,6,4,문화시설,,,,,,,,,,,,,,,,,,,영화관,,20090727,,1
647,영화상영관,03_13_02_P,3350000,CDFF4220002009000006,2009-02-16,,3,폐업,3,폐업,2011-06-16,,,,051-590-8100,,,"부산광역시 금정구 장전동 40번지 효원굿플러스 4층, 5층","부산광역시 금정구 부산대학로63번길 2  (장전동,효원굿플러스 4층, 5층)",,롯데시네마 부산대관 제6관,2011/06/16 11:08,I,2018/08/31 23:59,,389314.6621,194669.8988,영화상영관,영화상영관,11,기타,,,7,4,문화시설,,,,,,,,,,,,,,,,,,,영화관,,20090216,녹지지역,1
648,영화상영관,03_13_02_P,3350000,CDFF4220002009000007,2009-02-16,,3,폐업,3,폐업,2011-06-16,,,,051-590-8100,,,"부산광역시 금정구 장전동 40번지 효원굿플러스 4층, 5층","부산광역시 금정구 부산대학로63번길 2  (장전동,효원굿플러스 4층, 5층)",,롯데시네마 부산대관 제7관,2011/06/16 11:09,I,2018/08/31 23:59,,389314.6621,194669.8988,영화상영관,영화상영관,11,기타,,,7,4,문화시설,,,,,,,,,,,,,,,,,,,영화관,,20090216,녹지지역,1
